;;Valid;Work;Day;Special duty;;;;Block.;Generic term;;;
Abv.;Text;from;pattern;code;Code;Start;End;Reference;A.sched.;Text;add.;Position;Position
-;-   off day;01.01.90;0099;;;;;;-;;+;;
--;-   off day Wunsch;01.01.90;S200;;;;;;-;Wunsch off;+;-1;-1
!;Unexp. Absence;01.01.19;;!;;;;;-;Unexpected Absence;+;-1;-1
..;-   off day;01.01.90;0027;;;;;;-;;+;-1;-1
_;School - off;01.01.04;0099;SI;;;;;-;;+;-7001;-7001
37;Planning WT 37 Hrs;01.09.03;AZ37;;;;;;-;Planning WT 37 Hrs;+;-5;-5
38;Planning WT 38 Hrs;01.09.03;AZ38;;;;;;-;Planning WT 38 Hrs;+;-5;-5
39;Planning WT 39 Hrs;01.09.03;AZ39;;;;;;-;Planning WT 39 Hrs;+;-5;-5
40;Planning WT 40 Hrs;01.09.03;AZ40;;;;;;-;Planning WT 40 Hrs;+;-5;-5
41;Planning WT 41 hrs;01.09.14;O001;;;;;;-;Planning WT 41 hrs;+;-5;-5
61;Planing 61.10%;01.01.16;R601;;;;;;-;Planning 61.10%;+;-10;-10
65;Planing 65%;01.01.90;R650;;;;;;-;Planning 65%;+;-5;-5
75;Planning 75%;01.01.90;R750;;;;;;-;Planning 75%;+;-5;-5
ab;Acc. hourly with Certificate;01.05.23;;ab;;;;;-;Acc. hourly with Cer;-;-9201;-9201
AB;Acc. with Certificate;01.05.23;;AB;;;;;-;Acc. with Certificat;-;-9201;-9201
ac;Accident with Cert. hourly;01.01.90;;ac;;;;;-;Accident;-;-9201;-9201
AC;Accident with Certificate;01.01.90;;AC;;;;;-;;-;-9201;-9201
ah;Accident  halfday;01.01.03;;ah;;;;;-;Accident halfday;-;-9201;-9201
AP;Accident (PEP);01.01.90;0099;AP;;;;;-;Accident;-;-9201;-9201
aw;Accident w/o Cert. hourly;01.01.90;;aw;;;;;-;Accident;-;-9201;-9201
AW;Accident without Certificate;01.01.90;;AW;;;;;-;Accident;-;-9201;-9201
ax;Accident  halfday (1/10);01.01.03;;ax;;;;;-;Accident halfday (1/;-;-9201;-9201
AX;Accident w/o Cert 1/5 weekly h;01.01.90;;AX;;;;;-;Accident;-;-9201;-9201
B+;Business Trip Request;01.01.24;;B+;;;;;-;Business Trip Reques;-;-8011;-8011
BE;Bern;01.01.90;;BE;;;;;-;Outstation;-;-9101;-9101
BL;Business Trip;01.05.17;;BL;;;;;-;No Pikett;-;-11;-11
BS;Basel;01.01.90;;BS;;;;;-;Outstation;-;-9101;-9101
bt;Business Trip hourly;01.01.90;;bt;;;;;-;;-;;
BT;Business Trip;01.01.90;;BT;;;;;-;Business Trip;-;-10;-10
CX;Ang. CORONA OFF;01.03.20;;CX;;;;;-;Unexpected Absence;+;;
ET;Educational Trip;01.01.90;;ET;;;;;-;Educational Trip;-;-9101;-9101
f+;Komp. requested;01.06.13;;f+;;;;;-;Komp. requested;-;-8001;-8001
F+;Flexitime;01.01.90;;F+;;;;;-;Flexitime not grante;-;-8011;-8011
FD;Flight Duty;01.01.23;;FD;;;;;-;Flight Duty;-;-20;-20
fl;Halfday Komp. ex Flextime;01.01.90;;fl;;;;;-;Kompensation;-;-8501;-8501
FL;Kompensation ex Flextime;01.01.90;;FL;;;;;-;Kompensation ex Flex;-;-8011;-8011
FO;Flight Duty on Weekends;01.01.23;;FO;;;;;-;Flight Duty on Weeke;-;-20;-20
GA;GATA - Office Days;01.01.90;;GA;;;;;-;Paid Leave;-;-9201;-9201
GE;Geneva;01.01.90;;GE;;;;;-;Outstation;-;-9101;-9101
H+;Home Office (Workflow);01.01.90;;H+;;;;;-;Home Office Workflow;-;-8011;-8011
HC;Home Office Corona;01.03.20;;HC;;;;;-;Home Office Corona;-;-8011;-8011
hh;Home Office halfday;01.11.12;;hh;;;;;-;Home Office halfday;-;-9101;-9101
HO;Home Office;01.11.12;;HO;;;;;-;;-;-20;-20
I+;Home Office (Workflow);01.06.17;;I+;;;;;-;Flexitime not grante;-;-8011;-8011
IB;Baby Leave with Certificate;01.07.09;;IB;;;;;-;Sick;-;-9201;-9201
ic;Sick with Certificate hourly;01.01.90;;ic;;;;;+;Sick;-;-9201;-9201
IC;Sick with Certificate;01.01.90;;IC;;;;;-;Sick with Certificat;-;-9201;-9201
ID;Ind. Schedule;01.01.90;$IND;;;;;;-;Ind. Schedule;-;-7000;-7000
ih;Sick with Certificate halfday;01.01.90;;ih;;;;;-;Sick;-;-9201;-9201
im;Sick halfday during pregnancy;01.07.09;;im;;;;;-;Sick;-;-9201;-9201
IM;Baby Leave;01.01.90;;IM;;;;;-;Sick;-;-9201;-9201
in;care of child hourly;29.04.15;;in;;;;;-;Sick;-;-9201;-9201
IN;Nurse of close relatives;01.01.90;;IN;;;;;-;Sick;-;-9201;-9201
IP;Sick (PEP);01.01.90;0099;IP;;;;;-;Sick;-;-9201;-9201
iw;Sick w/o Certificate hourly;01.01.90;;iw;;;;;+;Sick;-;-9201;-9201
IW;Sick without Certificate;01.01.90;;IW;;;;;-;Sick;-;-9201;-9201
ix;Sick  halfday (1/10);01.01.09;;ix;;;;;-;Sick halfday (1/10 W;-;-9201;-9201
IX;Sick w/o Cert. 1/5 weekly Hrs;01.01.90;;IX;;;;;-;Sick;-;-9201;-9201
J;Joker Day;01.01.22;;J;;;;;-;;+;-1;-1
K%;Compensation withdrawn;18.03.20;;K%;;;;;-;Compensation withdra;+;-1;-1
k+;Komp. requested;01.06.13;;k+;;;;;-;Komp. requested;-;-8001;-8001
